Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,FoxBrush,1117,15,12,3,80.0%,60,27,33,→ 0,0
2,ImpactDrake,1115,16,12,4,75.0%,61,33,28,→ 0,0
3,TuskMammoth,1073,15,10,5,66.7%,50,41,9,→ 0,0
4,DranSword,1070,9,7,2,77.8%,34,21,13,▲ 1,+15
5,WeissTiger,1056,6,4,2,66.7%,22,9,13,▼ 1,0
6,CobaltDragoon,1053,9,6,3,66.7%,35,19,16,→ 0,0
7,ScorpioSpear,1047,11,7,4,63.6%,38,27,11,→ 0,0
8,ViperTail,1041,8,5,3,62.5%,27,19,8,▲ 1,0
9,DranDagger,1037,11,7,4,63.6%,33,26,7,▲ 1,0
10,SharkEdge,1032,11,7,4,63.6%,37,30,7,▲ 1,0
11,CerberusFlame,1032,12,7,5,58.3%,33,30,3,▼ 3,-15
12,GolemRock,1027,8,5,3,62.5%,23,14,9,→ 0,0
13,KnightMail,1017,12,6,6,50.0%,37,32,5,→ 0,0
14,PerseusDark,1010,9,4,5,44.4%,26,28,-2,→ 0,0
15,RhinoReaper,1004,11,6,5,54.5%,39,37,2,→ 0,0
16,WolfHunt,1000,0,0,0,0.0%,0,0,0,→ 0,0
17,ValkyrieVolt,1000,0,0,0,0.0%,0,0,0,→ 0,0
18,HellsBrave,1000,0,0,0,0.0%,0,0,0,→ 0,0
19,WyvernHover,1000,0,0,0,0.0%,0,0,0,→ 0,0
20,EmperorMight,1000,0,0,0,0.0%,0,0,0,→ 0,0
21,SharkScale,1000,0,0,0,0.0%,0,0,0,→ 0,0
22,SolEclipse,1000,0,0,0,0.0%,0,0,0,→ 0,0
23,ClockMirage,1000,0,0,0,0.0%,0,0,0,→ 0,0
24,TyrannoRoar,1000,0,0,0,0.0%,0,0,0,→ 0,0
25,CobaltDrake,1000,0,0,0,0.0%,0,0,0,→ 0,0
26,LeonCrest,999,8,4,4,50.0%,23,26,-3,→ 0,0
27,HellsReaper,999,8,4,4,50.0%,23,21,2,→ 0,0
28,DranBrave,994,10,5,5,50.0%,30,29,1,→ 0,0
29,PhoenixWing,993,12,6,6,50.0%,37,44,-7,→ 0,0
30,SilverWolf,989,8,3,5,37.5%,21,25,-4,→ 0,0
31,WizardRod,989,10,5,5,50.0%,29,30,-1,→ 0,0
32,UnicornSting,989,10,5,5,50.0%,27,26,1,→ 0,0
33,WhaleWave,987,9,4,5,44.4%,22,31,-9,→ 0,0
34,LeonClaw,986,7,3,4,42.9%,18,22,-4,→ 0,0
35,DranBuster,986,8,3,5,37.5%,18,24,-6,→ 0,0
36,HellsChain,965,8,3,5,37.5%,24,27,-3,→ 0,0
37,PhoenixRudder,962,9,3,6,33.3%,17,31,-14,→ 0,0
38,WhaleFlame,961,4,1,3,25.0%,6,15,-9,→ 0,0
39,CrimsonGaruda,955,7,2,5,28.6%,15,24,-9,→ 0,0
40,TyrannoBeat,953,7,2,5,28.6%,16,24,-8,→ 0,0
41,BlackShell,947,8,2,6,25.0%,11,26,-15,→ 0,0
42,WizardArc,926,6,1,5,16.7%,14,25,-11,→ 0,0
43,PegasusBlast,923,4,0,4,0.0%,4,18,-14,→ 0,0
44,WizardArrow,919,5,0,5,0.0%,7,20,-13,→ 0,0
45,HellsHammer,903,5,0,5,0.0%,6,23,-17,→ 0,0
46,SamuraiSaber,900,6,0,6,0.0%,5,24,-19,→ 0,0
