Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ScorpioSpear,1111,20,14,6,70.0%,73,42,31,→ 0,0
2,ImpactDrake,1108,25,17,8,68.0%,93,55,38,→ 0,0
3,SharkScale,1102,12,9,3,75.0%,50,24,26,→ 0,0
4,TuskMammoth,1095,31,22,9,71.0%,110,79,31,→ 0,0
5,ValkyrieVolt,1083,6,5,1,83.3%,28,8,20,→ 0,0
6,CobaltDragoon,1071,18,12,6,66.7%,66,40,26,→ 0,0
7,GolemRock,1065,24,15,9,62.5%,74,54,20,→ 0,0
8,WyvernHover,1053,3,3,0,100.0%,12,3,9,→ 0,0
9,FoxBrush,1044,22,14,8,63.6%,68,56,12,→ 0,0
10,LeonCrest,1041,16,9,7,56.2%,50,43,7,→ 0,0
11,HellsReaper,1023,15,8,7,53.3%,45,38,7,▲ 3,+11
12,HellsChain,1019,16,8,8,50.0%,49,41,8,▼ 1,0
13,WeissTiger,1018,13,7,6,53.8%,37,31,6,▼ 1,0
14,KnightMail,1015,16,8,8,50.0%,47,42,5,▼ 1,0
15,DranBrave,1012,20,10,10,50.0%,58,54,4,→ 0,0
16,PerseusDark,1009,16,8,8,50.0%,48,44,4,→ 0,0
17,DranSword,1007,20,11,9,55.0%,56,61,-5,→ 0,0
18,RhinoReaper,1005,14,7,7,50.0%,45,47,-2,→ 0,0
19,HellsBrave,1000,0,0,0,0.0%,0,0,0,→ 0,0
20,TyrannoRoar,1000,0,0,0,0.0%,0,0,0,→ 0,0
21,EmperorMight,1000,0,0,0,0.0%,0,0,0,→ 0,0
22,WolfHunt,1000,0,0,0,0.0%,0,0,0,→ 0,0
23,ClockMirage,1000,0,0,0,0.0%,0,0,0,→ 0,0
24,LeonClaw,1000,13,6,7,46.2%,35,41,-6,→ 0,0
25,ViperTail,999,15,7,8,46.7%,43,45,-2,→ 0,0
26,CerberusFlame,998,20,10,10,50.0%,50,55,-5,→ 0,0
27,WizardRod,992,13,6,7,46.2%,39,41,-2,→ 0,0
28,UnicornSting,991,14,7,7,50.0%,35,38,-3,→ 0,0
29,WhaleWave,991,17,8,9,47.1%,48,56,-8,→ 0,0
30,SharkEdge,988,17,8,9,47.1%,43,54,-11,→ 0,0
31,WizardArc,987,11,4,7,36.4%,33,37,-4,→ 0,0
32,PhoenixWing,986,21,10,11,47.6%,55,66,-11,→ 0,0
33,CrimsonGaruda,986,16,7,9,43.8%,41,48,-7,→ 0,0
34,DranDagger,973,20,9,11,45.0%,54,65,-11,→ 0,0
35,SilverWolf,973,11,4,7,36.4%,29,36,-7,→ 0,0
36,CobaltDrake,971,7,2,5,28.6%,17,25,-8,→ 0,0
37,PhoenixRudder,952,9,3,6,33.3%,17,31,-14,▲ 1,0
38,WhaleFlame,951,5,1,4,20.0%,8,19,-11,▲ 1,0
39,DranBuster,946,11,3,8,27.3%,24,38,-14,▲ 1,0
40,SolEclipse,942,12,4,8,33.3%,30,44,-14,▼ 3,-16
41,SamuraiSaber,938,12,3,9,25.0%,22,37,-15,→ 0,0
42,PegasusBlast,932,8,2,6,25.0%,15,30,-15,→ 0,0
43,TyrannoBeat,924,12,3,9,25.0%,22,42,-20,→ 0,0
44,BlackShell,919,9,2,7,22.2%,11,32,-21,→ 0,0
45,HellsHammer,900,5,0,5,0.0%,6,23,-17,→ 0,0
46,WizardArrow,869,7,0,7,0.0%,7,28,-21,→ 0,0
