Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ValkyrieVolt,1216,13,12,1,92.3%,65,16,49,→ 0,0
2,ImpactDrake,1122,29,20,9,69.0%,108,63,45,→ 0,0
3,ScorpioSpear,1107,23,16,7,69.6%,81,50,31,→ 0,0
4,SharkScale,1106,15,11,4,73.3%,61,29,32,→ 0,0
5,TuskMammoth,1082,39,26,13,66.7%,128,99,29,→ 0,0
6,LeonCrest,1063,22,13,9,59.1%,69,53,16,→ 0,0
7,CobaltDragoon,1062,22,14,8,63.6%,74,52,22,→ 0,0
8,GolemRock,1057,27,16,11,59.3%,81,62,19,→ 0,0
9,WyvernHover,1045,7,5,2,71.4%,22,13,9,→ 0,0
10,FoxBrush,1037,25,15,10,60.0%,75,70,5,→ 0,0
11,ViperTail,1026,18,9,9,50.0%,53,49,4,→ 0,0
12,KnightMail,1022,19,10,9,52.6%,57,49,8,→ 0,0
13,RhinoReaper,1019,17,8,9,47.1%,56,57,-1,▲ 1,0
14,DranBrave,1018,22,12,10,54.5%,66,59,7,▲ 1,0
15,LeonClaw,1012,17,8,9,47.1%,45,52,-7,▲ 1,0
16,DranSword,1012,23,12,11,52.2%,63,70,-7,▲ 1,0
17,HellsChain,1009,19,9,10,47.4%,55,51,4,▲ 1,0
18,WeissTiger,1007,16,8,8,50.0%,44,42,2,▼ 5,-13
19,PerseusDark,1003,19,10,9,52.6%,57,50,7,→ 0,0
20,HellsReaper,1002,18,9,9,50.0%,52,46,6,▲ 7,+14
21,TyrannoRoar,1000,0,0,0,0.0%,0,0,0,▼ 1,0
22,HellsBrave,1000,0,0,0,0.0%,0,0,0,▼ 1,0
23,ClockMirage,1000,0,0,0,0.0%,0,0,0,▼ 1,0
24,CerberusFlame,999,24,11,13,45.8%,59,67,-8,▼ 1,0
25,SilverWolf,998,14,6,8,42.9%,39,45,-6,▼ 1,0
26,WizardArc,995,14,6,8,42.9%,44,47,-3,▼ 1,0
27,SharkEdge,992,21,10,11,47.6%,54,67,-13,▼ 1,0
28,WhaleWave,988,20,9,11,45.0%,53,66,-13,→ 0,0
29,EmperorMight,987,3,1,2,33.3%,4,10,-6,→ 0,0
30,CobaltDrake,981,11,4,7,36.4%,31,37,-6,→ 0,0
31,WizardRod,980,16,7,9,43.8%,44,52,-8,→ 0,0
32,DranDagger,977,22,10,12,45.5%,60,71,-11,→ 0,0
33,CrimsonGaruda,976,19,8,11,42.1%,47,56,-9,→ 0,0
34,UnicornSting,972,17,8,9,47.1%,42,47,-5,→ 0,0
35,WolfHunt,968,3,1,2,33.3%,6,8,-2,→ 0,0
36,SolEclipse,962,16,6,10,37.5%,41,54,-13,→ 0,0
37,PhoenixRudder,952,9,3,6,33.3%,17,31,-14,→ 0,0
38,DranBuster,951,11,3,8,27.3%,24,38,-14,→ 0,0
39,WhaleFlame,946,5,1,4,20.0%,8,19,-11,→ 0,0
40,PhoenixWing,939,25,10,15,40.0%,58,83,-25,→ 0,0
41,TyrannoBeat,926,12,3,9,25.0%,22,42,-20,→ 0,0
42,BlackShell,922,9,2,7,22.2%,11,32,-21,→ 0,0
43,PegasusBlast,920,8,2,6,25.0%,15,30,-15,→ 0,0
44,SamuraiSaber,911,13,3,10,23.1%,24,43,-19,→ 0,0
45,HellsHammer,890,5,0,5,0.0%,6,23,-17,→ 0,0
46,WizardArrow,858,7,0,7,0.0%,7,28,-21,→ 0,0
