Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ImpactDrake,1149,47,32,15,68.1%,180,106,74,→ 0,0
2,FoxBrush,1132,42,29,13,69.0%,150,109,41,→ 0,0
3,TuskMammoth,1118,59,39,20,66.1%,204,157,47,→ 0,0
4,ValkyrieVolt,1117,24,16,8,66.7%,80,53,27,→ 0,0
5,SharkScale,1105,29,18,11,62.1%,104,70,34,→ 0,0
6,HellsBrave,1090,20,14,6,70.0%,71,37,34,→ 0,0
7,DranSword,1083,39,24,15,61.5%,122,106,16,→ 0,0
8,DranBrave,1082,35,22,13,62.9%,112,83,29,→ 0,0
9,LeonCrest,1073,36,20,16,55.6%,112,99,13,→ 0,0
10,HellsChain,1059,32,19,13,59.4%,100,76,24,▲ 1,+9
11,CobaltDragoon,1055,38,21,17,55.3%,121,100,21,▼ 1,0
12,WeissTiger,1043,33,19,14,57.6%,104,88,16,→ 0,0
13,TriceraPress,1042,4,3,1,75.0%,16,4,12,→ 0,0
14,ViperTail,1038,31,16,15,51.6%,92,82,10,→ 0,0
15,ScorpioSpear,1036,39,19,20,48.7%,108,114,-6,→ 0,0
16,SilverWolf,1030,32,17,15,53.1%,93,88,5,▲ 1,0
17,ShelterDrake,1027,4,3,1,75.0%,14,6,8,▲ 1,0
18,CerberusFlame,1024,38,19,19,50.0%,101,105,-4,▲ 1,0
19,KnightMail,1023,36,18,18,50.0%,105,100,5,▼ 3,-7
20,TyrannoRoar,1018,10,7,3,70.0%,33,24,9,→ 0,0
21,RhinoReaper,1018,31,16,15,51.6%,101,94,7,→ 0,0
22,MeteorDragoon,1013,5,3,2,60.0%,21,14,7,→ 0,0
23,PhoenixFlare,1005,3,2,1,66.7%,11,7,4,→ 0,0
24,SamuraiSteel,1004,3,2,1,66.7%,9,7,2,→ 0,0
25,LeonClaw,1001,30,15,15,50.0%,89,88,1,→ 0,0
26,BrachioWhip,1000,0,0,0,0.0%,0,0,0,→ 0,0
27,BahamutBlitz,1000,0,0,0,0.0%,0,0,0,→ 0,0
28,BulletGriffon,1000,0,0,0,0.0%,0,0,0,→ 0,0
29,DranStrike,1000,0,0,0,0.0%,0,0,0,→ 0,0
30,MummyCurse,1000,0,0,0,0.0%,0,0,0,→ 0,0
31,HellsReaper,999,32,15,17,46.9%,96,92,4,→ 0,0
32,GolemRock,997,39,18,21,46.2%,104,108,-4,→ 0,0
33,PerseusDark,988,32,15,17,46.9%,86,95,-9,→ 0,0
34,WolfHunt,988,16,8,8,50.0%,42,46,-4,→ 0,0
35,PhoenixRudder,987,24,12,12,50.0%,61,68,-7,→ 0,0
36,DranDagger,987,37,17,20,45.9%,108,117,-9,→ 0,0
37,HellsHammer,986,21,10,11,47.6%,60,67,-7,→ 0,0
38,GhostCircle,981,3,1,2,33.3%,7,8,-1,→ 0,0
39,ClockMirage,980,11,6,5,54.5%,28,31,-3,→ 0,0
40,CrimsonGaruda,978,29,13,16,44.8%,78,86,-8,→ 0,0
41,UnicornSting,977,26,12,14,46.2%,68,74,-6,→ 0,0
42,CobaltDrake,967,22,9,13,40.9%,64,73,-9,→ 0,0
43,PhoenixWing,966,33,14,19,42.4%,81,109,-28,→ 0,0
44,DranBuster,965,21,9,12,42.9%,58,64,-6,→ 0,0
45,SharkEdge,955,35,15,20,42.9%,87,110,-23,→ 0,0
46,SamuraiCalibur,952,2,0,2,0.0%,1,9,-8,→ 0,0
47,BlackShell,949,16,6,10,37.5%,31,50,-19,→ 0,0
48,WizardArc,947,21,8,13,38.1%,50,67,-17,→ 0,0
49,SolEclipse,931,27,9,18,33.3%,70,95,-25,→ 0,0
50,WhaleWave,929,26,9,17,34.6%,58,87,-29,→ 0,0
51,WyvernHover,925,20,6,14,30.0%,44,69,-25,→ 0,0
52,EmperorMight,920,10,2,8,20.0%,14,32,-18,→ 0,0
53,WhaleFlame,912,11,3,8,27.3%,17,39,-22,→ 0,0
54,PegasusBlast,903,12,3,9,25.0%,24,43,-19,→ 0,0
55,WizardRod,884,26,8,18,30.8%,53,91,-38,→ 0,0
56,SamuraiSaber,867,13,2,11,15.4%,21,50,-29,→ 0,0
57,WizardArrow,864,11,1,10,9.1%,19,43,-24,→ 0,0
58,TyrannoBeat,837,18,3,15,16.7%,25,68,-43,→ 0,0
