Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,FoxBrush,1144,43,30,13,69.8%,155,109,46,→ 0,0
2,ImpactDrake,1143,48,32,16,66.7%,183,110,73,→ 0,0
3,ValkyrieVolt,1121,25,17,8,68.0%,84,56,28,→ 0,0
4,SharkScale,1111,30,19,11,63.3%,108,73,35,→ 0,0
5,TuskMammoth,1110,60,39,21,65.0%,204,162,42,→ 0,0
6,DranSword,1089,40,25,15,62.5%,126,106,20,→ 0,0
7,HellsBrave,1078,21,14,7,66.7%,73,42,31,→ 0,0
8,DranBrave,1073,36,22,14,61.1%,114,87,27,→ 0,0
9,LeonCrest,1063,37,20,17,54.1%,112,104,8,→ 0,0
10,HellsChain,1059,32,19,13,59.4%,100,76,24,→ 0,0
11,WeissTiger,1055,34,20,14,58.8%,109,88,21,→ 0,0
12,CobaltDragoon,1052,39,21,18,53.8%,124,104,20,→ 0,0
13,ViperTail,1044,32,17,15,53.1%,96,84,12,→ 0,0
14,TriceraPress,1042,4,3,1,75.0%,16,4,12,→ 0,0
15,SilverWolf,1037,33,18,15,54.5%,97,89,8,→ 0,0
16,ScorpioSpear,1029,40,19,21,47.5%,108,118,-10,→ 0,0
17,ShelterDrake,1027,4,3,1,75.0%,14,6,8,→ 0,0
18,KnightMail,1023,36,18,18,50.0%,105,100,5,→ 0,0
19,TyrannoRoar,1018,10,7,3,70.0%,33,24,9,→ 0,0
20,CerberusFlame,1017,39,19,20,48.7%,102,109,-7,→ 0,0
21,MeteorDragoon,1013,5,3,2,60.0%,21,14,7,→ 0,0
22,RhinoReaper,1010,32,16,16,50.0%,103,98,5,→ 0,0
23,HellsReaper,1008,33,16,17,48.5%,101,94,7,→ 0,0
24,PhoenixFlare,1005,3,2,1,66.7%,11,7,4,→ 0,0
25,SamuraiSteel,1004,3,2,1,66.7%,9,7,2,→ 0,0
26,LeonClaw,1001,30,15,15,50.0%,89,88,1,→ 0,0
27,BrachioWhip,1000,0,0,0,0.0%,0,0,0,→ 0,0
28,BahamutBlitz,1000,0,0,0,0.0%,0,0,0,→ 0,0
29,BulletGriffon,1000,0,0,0,0.0%,0,0,0,→ 0,0
30,DranStrike,1000,0,0,0,0.0%,0,0,0,→ 0,0
31,MummyCurse,1000,0,0,0,0.0%,0,0,0,→ 0,0
32,PerseusDark,993,33,16,17,48.5%,90,97,-7,→ 0,0
33,WolfHunt,988,16,8,8,50.0%,42,46,-4,→ 0,0
34,PhoenixRudder,987,24,12,12,50.0%,61,68,-7,→ 0,0
35,DranDagger,987,37,17,20,45.9%,108,117,-9,→ 0,0
36,GolemRock,983,40,18,22,45.0%,104,112,-8,▲ 1,0
37,GhostCircle,981,3,1,2,33.3%,7,8,-1,▲ 1,0
38,ClockMirage,980,11,6,5,54.5%,28,31,-3,▲ 1,0
39,CrimsonGaruda,978,29,13,16,44.8%,78,86,-8,▲ 1,0
40,UnicornSting,977,26,12,14,46.2%,68,74,-6,▲ 1,0
41,DranBuster,976,22,10,12,45.5%,62,64,-2,▲ 3,+11
42,PhoenixWing,975,34,15,19,44.1%,85,109,-24,→ 0,0
43,HellsHammer,971,22,10,12,45.5%,60,71,-11,▼ 7,-15
44,CobaltDrake,967,22,9,13,40.9%,64,73,-9,▼ 1,0
45,WizardArc,958,22,9,13,40.9%,54,69,-15,→ 0,0
46,SharkEdge,955,35,15,20,42.9%,87,110,-23,→ 0,0
47,SamuraiCalibur,952,2,0,2,0.0%,1,9,-8,→ 0,0
48,BlackShell,949,16,6,10,37.5%,31,50,-19,→ 0,0
49,SolEclipse,931,27,9,18,33.3%,70,95,-25,→ 0,0
50,WhaleWave,929,26,9,17,34.6%,58,87,-29,→ 0,0
51,EmperorMight,920,10,2,8,20.0%,14,32,-18,→ 0,0
52,WyvernHover,918,21,6,15,28.6%,46,73,-27,→ 0,0
53,WhaleFlame,912,11,3,8,27.3%,17,39,-22,→ 0,0
54,PegasusBlast,903,12,3,9,25.0%,24,43,-19,→ 0,0
55,WizardRod,884,26,8,18,30.8%,53,91,-38,→ 0,0
56,SamuraiSaber,867,13,2,11,15.4%,21,50,-29,→ 0,0
57,WizardArrow,864,11,1,10,9.1%,19,43,-24,→ 0,0
58,TyrannoBeat,837,18,3,15,16.7%,25,68,-43,→ 0,0
